,Currency,Name,Units per CHF,CHF per unit,Date
1,EUR,Euro,0.9474621724058914,1.055451108365307,2022-02-11
1,EUR,Euro,0.9520727925499708,1.050339856180181,2022-02-12
1,EUR,Euro,0.9513885778825828,1.051095234110974,2022-02-13
1,EUR,Euro,0.95453609648189,1.04762931824755,2022-02-14
1,EUR,Euro,0.9503557216881282,1.0522375750247372,2022-02-15
1,EUR,Euro,0.9530569946569768,1.0492551920884006,2022-02-16
1,EUR,Euro,0.9562794177249534,1.04571946385614,2022-02-17
1,EUR,Euro,0.958499268617488,1.043297614031956,2022-02-18
1,EUR,Euro,0.958574647771364,1.0432155725429917,2022-02-19
1,EUR,Euro,0.9583448299936004,1.0434657429170644,2022-02-20
1,EUR,Euro,0.9630562151974852,1.038360984768619,2022-02-21
1,EUR,Euro,0.9575407182548966,1.0443420117135955,2022-02-22
1,EUR,Euro,0.962791753367201,1.0386462041273925,2022-02-23
1,EUR,Euro,0.9679032479471752,1.0331611161765382,2022-02-24
1,EUR,Euro,0.95772585049701,1.0441401362206648,2022-02-25
1,EUR,Euro,0.9585102489173968,1.0432856624428009,2022-02-26
1,EUR,Euro,0.958644498614406,1.0431395594981954,2022-02-27
1,EUR,Euro,0.9706366308790124,1.0302516597734377,2022-02-28
1,EUR,Euro,0.9799020135894312,1.0205102001341426,2022-03-01
1,EUR,Euro,0.9769100549077112,1.023635691920962,2022-03-02
1,EUR,Euro,0.9826140150866148,1.0176936056747092,2022-03-03
1,EUR,Euro,0.997951976571763,1.002052226436058,2022-03-04
1,EUR,Euro,0.9977872734591472,1.0022176335574835,2022-03-05
1,EUR,Euro,0.9977981299645864,1.0022067289657997,2022-03-06
1,EUR,Euro,0.9934463706287578,1.0065968627648156,2022-03-07
1,EUR,Euro,0.9880858156421488,1.0120578437310206,2022-03-08
1,EUR,Euro,0.9751717845075414,1.025460350562744,2022-03-09
1,EUR,Euro,0.9774327938711062,1.0230882432740125,2022-03-10
1,EUR,Euro,0.9796321714654715,1.0207913022130126,2022-03-11
1,EUR,Euro,0.9793457498647062,1.0210898450706984,2022-03-12
1,EUR,Euro,0.9797858842544458,1.0206311563275234,2022-03-13
1,EUR,Euro,0.973186302225364,1.0275524816916572,2022-03-14
1,EUR,Euro,0.9678694189460816,1.0331972272550007,2022-03-15
1,EUR,Euro,0.9660807567426364,1.0351101530805045,2022-03-16
1,EUR,Euro,0.9626235629832774,1.0388276772499614,2022-03-17
1,EUR,Euro,0.9691750561215104,1.0318053417530642,2022-03-18
1,EUR,Euro,0.9699836635108104,1.0309451979640016,2022-03-19
1,EUR,Euro,0.9698531255721023,1.0310839586252964,2022-03-20
1,EUR,Euro,0.9728057077539676,1.027954494951329,2022-03-21
1,EUR,Euro,0.9729806085204696,1.0277697122048677,2022-03-22
1,EUR,Euro,0.9753135215774318,1.0253113259238336,2022-03-23
1,EUR,Euro,0.976117968665758,1.0244663371650518,2022-03-24
1,EUR,Euro,0.9778019392864762,1.0227020011125385,2022-03-25
1,EUR,Euro,0.9790382760312524,1.0214105254941823,2022-03-26
1,EUR,Euro,0.9837070763257004,1.0165627797811074,2022-03-27
1,EUR,Euro,0.9750697721282812,1.0255676348342782,2022-03-28
1,EUR,Euro,0.9678935764751366,1.0331714398206755,2022-03-29
1,EUR,Euro,0.9700428673805496,1.0308822770898207,2022-03-30
1,EUR,Euro,0.978428747530536,1.022046830210077,2022-03-31
1,EUR,Euro,0.9782063955601058,1.0222791473648212,2022-04-01
1,EUR,Euro,0.9774858954517536,1.0230326643617105,2022-04-02
1,EUR,Euro,0.9780487126726568,1.0224439611676992,2022-04-03
1,EUR,Euro,0.9826951204389414,1.0176096117718882,2022-04-04
1,EUR,Euro,0.9853661071719164,1.0148512240491852,2022-04-05
1,EUR,Euro,0.9827875587637316,1.017513898179501,2022-04-06
1,EUR,Euro,0.9831567822251124,1.0171317719405522,2022-04-07
1,EUR,Euro,0.9851661152167632,1.0150572421788715,2022-04-08
1,EUR,Euro,0.984147786791536,1.0161075535821145,2022-04-09
1,EUR,Euro,0.9835714600255008,1.0167029449736915,2022-04-10
1,EUR,Euro,0.9878076470975312,1.0123428411779292,2022-04-11
1,EUR,Euro,0.990605065962624,1.0094840359293402,2022-04-12
1,EUR,Euro,0.9859344323035734,1.014266230324833,2022-04-13
1,EUR,Euro,0.9826994731964388,1.0176051043838334,2022-04-14
1,EUR,Euro,0.9811679878295856,1.0191934637126432,2022-04-15
1,EUR,Euro,0.9806070871845426,1.0197764355050063,2022-04-16
1,EUR,Euro,0.9806201332543883,1.019762868503725,2022-04-17
1,EUR,Euro,0.9819837631125304,1.0183467767637673,2022-04-18
1,EUR,Euro,0.9773132391697522,1.0232133976303448,2022-04-19
1,EUR,Euro,0.9726675989555276,1.0281004539205612,2022-04-20
1,EUR,Euro,0.9673056027345732,1.0337994499080745,2022-04-21
1,EUR,Euro,0.966828965383808,1.0343091030614953,2022-04-22
1,EUR,Euro,0.9669360397123156,1.0341945681304023,2022-04-23
1,EUR,Euro,0.9674790104812276,1.033614155104612,2022-04-24
1,EUR,Euro,0.9747496981102008,1.025904395701536,2022-04-25
1,EUR,Euro,0.9762472210169012,1.0243307007402869,2022-04-26
1,EUR,Euro,0.9781128063035044,1.0223769626115131,2022-04-27
1,EUR,Euro,0.9794647665585886,1.0209657704315014,2022-04-28
1,EUR,Euro,0.975892499234412,1.024703029057504,2022-04-29
1,EUR,Euro,0.9735464833737054,1.0271723200464176,2022-04-30
1,EUR,Euro,0.9740280148936636,1.026664515505924,2022-05-01
1,EUR,Euro,0.972897768205054,1.027857224757487,2022-05-02
1,EUR,Euro,0.9703933121732414,1.030509987502339,2022-05-03
1,EUR,Euro,0.965096875016312,1.0361654108382623,2022-05-04
1,EUR,Euro,0.9636489494592712,1.0377222956151473,2022-05-05
1,EUR,Euro,0.9596563454718348,1.042039689226803,2022-05-06
1,EUR,Euro,0.958380014403742,1.0434274348074255,2022-05-07
1,EUR,Euro,0.9574375772699184,1.044454514571536,2022-05-08
1,EUR,Euro,0.9540984944749464,1.048109818630742,2022-05-09
1,EUR,Euro,0.9545855453457096,1.047575049586408,2022-05-10
1,EUR,Euro,0.9578161210878384,1.0440417299139333,2022-05-11
1,EUR,Euro,0.9628689200326416,1.038562964485446,2022-05-12
1,EUR,Euro,0.9591321349686373,1.0426092125801825,2022-05-13
1,EUR,Euro,0.9586473637281396,1.0431364418622524,2022-05-14
1,EUR,Euro,0.9583034459621572,1.0435108046553865,2022-05-15
1,EUR,Euro,0.9571090300824968,1.0448130448772448,2022-05-16
1,EUR,Euro,0.9562913235673676,1.045706444631936,2022-05-17
1,EUR,Euro,0.9622029663562588,1.0392817679484752,2022-05-18
1,EUR,Euro,0.9709109082693068,1.029960618922848,2022-05-19
1,EUR,Euro,0.9712209867479388,1.0296317868381586,2022-05-20
1,EUR,Euro,0.9714222849123324,1.0294184264984685,2022-05-21
1,EUR,Euro,0.9713908734753168,1.0294517143467996,2022-05-22
1,EUR,Euro,0.9696202339013096,1.0313316131785493,2022-05-23
1,EUR,Euro,0.9700880167778332,1.0308342982335974,2022-05-24
1,EUR,Euro,0.9736216722361934,1.0270929956840642,2022-05-25
1,EUR,Euro,0.9716260940930757,1.0292024947450684,2022-05-26
1,EUR,Euro,0.9752285477395684,1.0254006635858313,2022-05-27
1,EUR,Euro,0.9727915678525298,1.0279694366672334,2022-05-28
